OrderID,OrderDate,Region_City_Country,Channel,PromotionName,ProductName,Manufacturer,Category_SubCategory,UnitCost,Price,OrderQty,Row_Id
7077,13-09-2017,"Europe,Moscow,Russia",Store,european spring promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Cameras and camcorders -Digital SLR Cameras,76.09496775,304,9,20847
117,14-09-2017,"Europe,Moscow,Russia",Store,european spring promotion,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Audio-MP4&MP3,7.491752798,12.99,4,20228
7018,15-09-2017,"Europe,Moscow,Russia",Store,european spring promotion,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd","Music, Movies and Audio Books-Movie DVD",10.12233768,159.99,9,21776
140,16-09-2017,"North America,Bellevue,United States",Store,north america spring promotion,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Audio-Bluetooth Headphones,0.576153263,25.69,18,24844
491,17-09-2017,"Asia,Beijing,China",Online,asian spring promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Cameras and camcorders -Digital SLR Cameras,108.5087768,304,9,24846
58,18-09-2017,"Asia,Beijing,China",Online,asian summer promotion,SV Car Video TFT7 M7000 Silver,Southridge Video,TV and Video-Car Video,77.98502883,299,24,24847
7085,19-09-2017,"Asia,Beijing,China",Online,no discount,Adventure Works Laptop15 M1501 Red,Adventure Works,Computers-Laptops,154.987254,699,10,24848
929,20-09-2017,"Asia,Beijing,China",Online,no discount,Fabrikam Social Videographer 1/2'' 3mm E300 White,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,96.4548497,178,5,18181
1527,21-09-2017,"Asia,Beijing,China",Online,asian holiday promotion,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Cell phones-Smart phones & PDAs ,227.3970926,310,13,20925
7264,22-09-2017,"Asia,Beijing,China",Online,no discount,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,Cell phones-Smart phones & PDAs ,158.6528393,299,30,26267
1471,23-09-2017,"Asia,Beijing,China",Online,asian spring promotion,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,TV and Video-Televisions,346.6271251,763.51,18,26268
845,24-09-2017,"Asia,Beijing,China",Online,no discount,"A. Datum SLR Camera 35"" X358 Gold",A. Datum Corporation,Cameras and camcorders -Digital SLR Cameras,192.8419767,588,24,23890
7144,25-09-2017,"Asia,Beijing,China",Online,no discount,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Audio-MP4&MP3,50.30309548,95.95,24,24063
1160,26-09-2017,"Asia,Beijing,China",Online,no discount,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Audio-MP4&MP3,181.8228396,299.23,10,5890
619,27-09-2017,"Asia,Beijing,China",Online,no discount,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Audio-MP4&MP3,144.2994725,299.23,12,6062
625,28-09-2017,"Asia,Beijing,China",Online,no discount,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Computers-Printers, Scanners & Fax",13.04327298,159,20,6063
523,29-09-2017,"Asia,Beijing,China",Online,asian holiday promotion,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Audio-Recording Pen,79.63851975,199.95,26,20631
879,30-09-2017,"Asia,Beijing,China",Online,no discount,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Audio-Recording Pen,162.9056774,296,6,20632
7409,01-10-2017,"Asia,Beijing,China",Online,no discount,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Audio-Recording Pen,153.0782218,296,12,23967
1170,02-10-2017,"Asia,Beijing,China",Online,no discount,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Audio-Recording Pen,108.2420856,156,20,23509
1154,03-10-2017,"Asia,Beijing,China",Online,asian holiday promotion,Contoso DVD 9-Inch Player Portable M300 Silver,"Contoso, Ltd","Music, Movies and Audio Books-Movie DVD",63.08704151,159.99,26,23612
1572,04-10-2017,"Asia,Beijing,China",Online,asian spring promotion,SV Car Video LCD7 M7002 Black,Southridge Video,TV and Video-Car Video,268.4218818,369,9,23278
7548,05-10-2017,"Asia,Beijing,China",Online,asian spring promotion,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Audio-Bluetooth Headphones,6.32265692,40.55,18,19355
7056,06-10-2017,"Asia,Beijing,China",Online,no discount,WWI Projector 720p LCD56 Black,Wide World Importers,Computers-Projectors & Screens,486.2932397,699,10,23654
